source,caption,target,relation,post_url,timestamp,scraped_at
officialinewstv,"Gelombang seruan pembubaran DPR belakangan ramai beredar di media sosial. Isu ini muncul di tengah derasnya kritik publik terhadap besarnya tunjangan yang diterima para anggota dewan. Wakil Ketua Komisi III DPR, Ahmad Sahroni, pun menanggapi keras. Ia menyebut bahwa orang yang menyerukan pembubaran DPR adalah ""orang tolol sedunia"". Sahroni menegaskan DPR tetap memiliki fungsi vital sebagai wakil rakyat. Ia mengaku siap menerima kritik, bahkan hujatan sekalipun. Namun, ia menilai seruan bubarkan ",#Sahroni,hashtag,https://www.instagram.com/p/DNqK0GkO_-3/,2025-08-22T13:25:57.000Z,2025-09-03 02:48:28
officialinewstv,"Gelombang seruan pembubaran DPR belakangan ramai beredar di media sosial. Isu ini muncul di tengah derasnya kritik publik terhadap besarnya tunjangan yang diterima para anggota dewan. Wakil Ketua Komisi III DPR, Ahmad Sahroni, pun menanggapi keras. Ia menyebut bahwa orang yang menyerukan pembubaran DPR adalah ""orang tolol sedunia"". Sahroni menegaskan DPR tetap memiliki fungsi vital sebagai wakil rakyat. Ia mengaku siap menerima kritik, bahkan hujatan sekalipun. Namun, ia menilai seruan bubarkan ",#BubarkanDPR,hashtag,https://www.instagram.com/p/DNqK0GkO_-3/,2025-08-22T13:25:57.000Z,2025-09-03 02:48:28
officialinewstv,"Gelombang seruan pembubaran DPR belakangan ramai beredar di media sosial. Isu ini muncul di tengah derasnya kritik publik terhadap besarnya tunjangan yang diterima para anggota dewan. Wakil Ketua Komisi III DPR, Ahmad Sahroni, pun menanggapi keras. Ia menyebut bahwa orang yang menyerukan pembubaran DPR adalah ""orang tolol sedunia"". Sahroni menegaskan DPR tetap memiliki fungsi vital sebagai wakil rakyat. Ia mengaku siap menerima kritik, bahkan hujatan sekalipun. Namun, ia menilai seruan bubarkan ",#KritikDewan,hashtag,https://www.instagram.com/p/DNqK0GkO_-3/,2025-08-22T13:25:57.000Z,2025-09-03 02:48:28
officialinewstv,"Gelombang seruan pembubaran DPR belakangan ramai beredar di media sosial. Isu ini muncul di tengah derasnya kritik publik terhadap besarnya tunjangan yang diterima para anggota dewan. Wakil Ketua Komisi III DPR, Ahmad Sahroni, pun menanggapi keras. Ia menyebut bahwa orang yang menyerukan pembubaran DPR adalah ""orang tolol sedunia"". Sahroni menegaskan DPR tetap memiliki fungsi vital sebagai wakil rakyat. Ia mengaku siap menerima kritik, bahkan hujatan sekalipun. Namun, ia menilai seruan bubarkan ",#PolitikIndonesia,hashtag,https://www.instagram.com/p/DNqK0GkO_-3/,2025-08-22T13:25:57.000Z,2025-09-03 02:48:28
folkpediaa,"Dalam aksi 25 Agustus 2025, seorang ayah sekaligus driver ojol bersama anak kecilnya terpaksa mengoleskan odol di bawah mata. Ketika ditanya, ia menjawab bahwa baru saja ditembaki gas air mata sebanyak lima kali tepat ke arah motornya. Padahal beliau sedang bekerja demi mengantarkan paket makanan customer. Pemandangan ini menjadi potret nyata, bahkan keluarga dengan anak-anak pun tidak luput dari dampak kebijakan represif.

Pertanyaannya, berapa banyak lagi korban yang harus muncul agar penguasa",gmniesaunggul,mention,https://www.instagram.com/p/DNzakDe5ruy/,2025-08-26T03:39:44.000Z,2025-09-03 02:48:28
folkpediaa,"Dalam aksi 25 Agustus 2025, seorang ayah sekaligus driver ojol bersama anak kecilnya terpaksa mengoleskan odol di bawah mata. Ketika ditanya, ia menjawab bahwa baru saja ditembaki gas air mata sebanyak lima kali tepat ke arah motornya. Padahal beliau sedang bekerja demi mengantarkan paket makanan customer. Pemandangan ini menjadi potret nyata, bahkan keluarga dengan anak-anak pun tidak luput dari dampak kebijakan represif.

Pertanyaannya, berapa banyak lagi korban yang harus muncul agar penguasa",#ojol,hashtag,https://www.instagram.com/p/DNzakDe5ruy/,2025-08-26T03:39:44.000Z,2025-09-03 02:48:28
folkpediaa,"Dalam aksi 25 Agustus 2025, seorang ayah sekaligus driver ojol bersama anak kecilnya terpaksa mengoleskan odol di bawah mata. Ketika ditanya, ia menjawab bahwa baru saja ditembaki gas air mata sebanyak lima kali tepat ke arah motornya. Padahal beliau sedang bekerja demi mengantarkan paket makanan customer. Pemandangan ini menjadi potret nyata, bahkan keluarga dengan anak-anak pun tidak luput dari dampak kebijakan represif.

Pertanyaannya, berapa banyak lagi korban yang harus muncul agar penguasa",#ojekonline,hashtag,https://www.instagram.com/p/DNzakDe5ruy/,2025-08-26T03:39:44.000Z,2025-09-03 02:48:28
folkpediaa,"Dalam aksi 25 Agustus 2025, seorang ayah sekaligus driver ojol bersama anak kecilnya terpaksa mengoleskan odol di bawah mata. Ketika ditanya, ia menjawab bahwa baru saja ditembaki gas air mata sebanyak lima kali tepat ke arah motornya. Padahal beliau sedang bekerja demi mengantarkan paket makanan customer. Pemandangan ini menjadi potret nyata, bahkan keluarga dengan anak-anak pun tidak luput dari dampak kebijakan represif.

Pertanyaannya, berapa banyak lagi korban yang harus muncul agar penguasa",#demo,hashtag,https://www.instagram.com/p/DNzakDe5ruy/,2025-08-26T03:39:44.000Z,2025-09-03 02:48:28
folkpediaa,"Dalam aksi 25 Agustus 2025, seorang ayah sekaligus driver ojol bersama anak kecilnya terpaksa mengoleskan odol di bawah mata. Ketika ditanya, ia menjawab bahwa baru saja ditembaki gas air mata sebanyak lima kali tepat ke arah motornya. Padahal beliau sedang bekerja demi mengantarkan paket makanan customer. Pemandangan ini menjadi potret nyata, bahkan keluarga dengan anak-anak pun tidak luput dari dampak kebijakan represif.

Pertanyaannya, berapa banyak lagi korban yang harus muncul agar penguasa",#demodpr,hashtag,https://www.instagram.com/p/DNzakDe5ruy/,2025-08-26T03:39:44.000Z,2025-09-03 02:48:28
folkpediaa,"Dalam aksi 25 Agustus 2025, seorang ayah sekaligus driver ojol bersama anak kecilnya terpaksa mengoleskan odol di bawah mata. Ketika ditanya, ia menjawab bahwa baru saja ditembaki gas air mata sebanyak lima kali tepat ke arah motornya. Padahal beliau sedang bekerja demi mengantarkan paket makanan customer. Pemandangan ini menjadi potret nyata, bahkan keluarga dengan anak-anak pun tidak luput dari dampak kebijakan represif.

Pertanyaannya, berapa banyak lagi korban yang harus muncul agar penguasa",#dpr,hashtag,https://www.instagram.com/p/DNzakDe5ruy/,2025-08-26T03:39:44.000Z,2025-09-03 02:48:28
