title,description,link,likes,author,author_username,timestamp,mentions_in_caption,hashtags,scraped_at,views,shares,comments
"Pakar politik, Ikrar Nusa Bhakti, turut menyampaikan kekecewaannya kepada Pak Jokowi terkait politik dinasti...",,https://www.tiktok.com/@2045.tv/video/7296445364205260033,1256.0,@2045.tv,2045.tv,2023-11-01T00:00:00+00:00,[],[],2025-08-27 02:28:58,,0.0,0.0
,,https://www.tiktok.com/@360tigaenampuluh/video/7538653365815872786,0.0,@,,2025-08-22T09:03:10.357219+00:00,[],[],2025-08-22 09:03:10,,0.0,0.0
INDONESIA MILIK KELUARGA DINASTI 😮🫢🫢🫢🤦‍♂️🤷‍♂️🤷‍♂️🤷‍♂️,,https://www.tiktok.com/@4m4t1r3/video/7354940456377306373,31.0,@4m4t1r3,4m4t1r3,2024-04-07T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
"Pejabat Joged² karna Gaji naik, Tapi Tidak Dengan RakyatMu",,https://www.tiktok.com/@_codet158/video/7539374715765411080,110.0,@_codet158,_codet158,2025-08-19T03:25:45+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
created by 🌹 with Shelby Company’s som original,created by 🌹 with Shelby Company’s som original,https://www.tiktok.com/@_its.db_/video/7522483141966105912,1742.0,@_its.db_,_its.db_,2024-07-02T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
created by 🌹 with 🌹’s suara asli - 🌹,created by 🌹 with 🌹’s suara asli - 🌹,https://www.tiktok.com/@_its.db_/video/7541287314786422022,0.0,@,,2025-08-22T09:03:06.751094+00:00,[],[],2025-08-22 09:03:06,,0.0,0.0
DINASTI hanya berlaku untuk keluarga pak mulyono 🗿,,https://www.tiktok.com/@_lynx.x._/video/7407743340013210885,0.0,@_lynx.x._,_lynx.x._,2024-08-27T00:00:00+00:00,[],[],2025-08-27 02:29:07,,0.0,0.0
"Si Masnya Ditanya, Kaya Angin Muter Muter🤭",,https://www.tiktok.com/@_sarmidi91/video/7347195103049567494,2888.0,@_sarmidi91,_sarmidi91,2024-03-17T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
"kekuasaan adalah candu,maka kekuasaan harus dibatasi oleh konstitusi.",,https://www.tiktok.com/@a_ramon73/video/7408859123581766917,228.0,@a_ramon73,a_ramon73,2024-08-30T00:00:00+00:00,[],[],2025-08-27 02:29:05,,0.0,0.0
"Ketika ditanya, apa alasan Umar RA menolak mencalonkan putranya sebagai khalifah penggantinya, ia berkata, ""Cukuplah satu orang saja dari keluarga 'Umar yang akan menghadapi hisab karena urusan kekuasaan, yaitu Umar!""",,https://www.tiktok.com/@aamalaw/video/7377580850239524101,112.0,@aamalaw,aamalaw,2024-06-07T00:00:00+00:00,[],[],2025-08-27 02:29:05,,0.0,0.0
created by AB with AB’s original sound - AB,created by AB with AB’s original sound - AB,https://www.tiktok.com/@ab85219/video/7352339545251171590,40.0,@ab85219,ab85219,2024-03-31T00:00:00+00:00,[],[],2025-08-20 06:17:58,,0.0,0.0
STRATEGI JOKOWI MEMBANGUN POLITIK DINASTI SEJAK 2015,,https://www.tiktok.com/@abahroiscilacap/video/7497210074402704646,121.0,@abahroiscilacap,abahroiscilacap,2025-04-25T00:00:00+00:00,[],[],2025-08-27 02:29:05,,0.0,0.0
