username,display_name,tweet_text,timestamp,replies,retweets,likes,views,tweet_url,is_retweet,hashtags,mentions,scraped_at
@03__nakula,Nakula,"Statement Bu Mega agar kader² PDI-P mendukung pemerintahan Prabowo - Gibran sudah sering beliau sampaikan, bahkan sejak Prabowo - Gibran dilantik jadi Presiden dan wakil presiden.
Namun dukungan tersebut bukan berarti PDI-P harus gabung koalisi pemerintah. PDI-P jadi partner di",2025-08-01T09:42:53+00:00,0,0,0.0,0,https://x.com/03__nakula/status/1951217059007963359,False,[],[],2025-08-26 13:38:52
@03__nakula,Nakula,"Presiden Prabowo melalui Mensesneg menyatakan siap backup Kejaksaan agung tangkap Riza Chalid dan bongkar mafia migas.

Kita tunggu keberanian Kejaksaan Agung.
Riza Chalid aktif di perpolitikan Indonesia terutama pada ajang pilpres. Kita tunggu nyanyian Riza Chalid agar semua",2025-08-06T14:19:25+00:00,0,0,0.0,0,https://x.com/03__nakula/status/1953098588927738076,False,[],[],2025-08-26 13:38:52
@0R4N6B14S4,bluesky,"Politik balas budi, tdk akan melihat masa lalu sbg koruptor pun pasti diberi penghargaan penguasa saat itu .Inilah Indonesia",2025-08-25T21:20:00.000Z,0,0,1.0,134,https://x.com/0R4N6B14S4/status/1960089803506270220,False,[],[],2025-08-26 13:48:21
@1254Abp,𝖇𝖆𝖓𝖌 𝖕𝖎𝖙𝖍𝖚,Mungkin politik dinasti itu nyata... gak cuma satu tokoh tapi hampir semua tokoh politik... yang tak suka karena tokoh tersebut belum siap di SDM nya...,2025-08-15T03:04:36.000Z,1,0,1.0,67,https://x.com/1254Abp/status/1956190257344602312,False,[],[],2025-08-22 15:57:47
@165Hati,🄳🄴🄽 🄱🄰🄶🄾🄴🅂,Korupsi di Indonesia sudah menjadi budaya padahal mereka termasuk orang orang yg berpendidikan tinggi tap tak malu untuk berbuat korupsi 44 anggota komisi Xl DPR RI  diduga terima dana CSR BI dan OJK..?,2025-08-19T15:02:46+00:00,0,0,0.0,0,https://x.com/165Hati/status/1957820542222012920,False,[],[],2025-08-26 13:38:52
@1B_bibimbap,halo bek,"Prabowo Inspektur Upacara pimpin sidang kabinet, pastikan MBG jadi fondasi gizi anak Indonesia. Luar biasa! #Dirgahayu80NKRI",2025-08-16T23:31:26+00:00,0,0,0.0,0,https://x.com/1B_bibimbap/status/1956861388141592891,False,['#Dirgahayu80NKRI'],[],2025-08-26 13:38:52
@2Siji,siji,"Bawaslu temukan ribuan akun buzzer jelang pemilu 2024 #SatuOrangSatuAkun
Keamanan Digital Indonesia",2025-08-11T02:56:39+00:00,0,0,0.0,0,https://x.com/2Siji/status/1954738706616823874,False,['#SatuOrangSatuAkun'],[],2025-08-26 13:38:52
@2dibukaB,Juan Chaniago,"heboh dulu baru bergerak!!!
kadang suka bingung sama penegakan hukum di Indonesia, klo oposisi garcep banget nyari kesalahannya.
tapi kalau pendukung penguasa bebas melenggang walau udh ketuk palu sebagai terpidana.",2025-08-05T08:49:00+00:00,0,0,0.0,0,https://x.com/2dibukaB/status/1952653051409453327,False,[],[],2025-08-26 13:38:52
@404flicker,chopper,"prediksi gw di era pemerintahan sekarang bisa terjadi demo besar""an, entah kapanpun itu. soalnya gw liat walaupun kondisi koalisi sekarang gemuk, tapi respon masyarakat soal isu"" sekarang cukup kuat juga. kalo memang pemerintah buat kebijakan konyol terus menerus, perlahan semua",2025-08-14T15:21:03+00:00,0,0,0.0,0,https://x.com/404flicker/status/1956013202527150405,False,[],[],2025-08-26 13:38:52
@4nduriel,Narsil,Nikkei oposisi,2025-08-08T01:31:58+00:00,0,0,0.0,0,https://x.com/4nduriel/status/1953630231165907239,False,[],[],2025-08-26 13:38:52
